C=4000, F=1000, Meas=59.4055, Pred=59.3994, delta=-0.0061, step=59.40554,
C=4000, F=1001, Meas=59.4067, Pred=59.4002, delta=-0.0065, step=0.00113,
C=4000, F=1002, Meas=59.4075, Pred=59.4010, delta=-0.0065, step=0.00083,
C=4000, F=1003, Meas=59.4083, Pred=59.4018, delta=-0.0065, step=0.00082,
C=4000, F=1004, Meas=59.4092, Pred=59.4026, delta=-0.0066, step=0.00087,
C=4000, F=1005, Meas=59.4100, Pred=59.4034, delta=-0.0065, step=0.00075,
C=4000, F=1006, Meas=59.4107, Pred=59.4042, delta=-0.0065, step=0.00080,
C=4000, F=1007, Meas=59.4116, Pred=59.4051, delta=-0.0065, step=0.00082,
C=4000, F=1008, Meas=59.4124, Pred=59.4059, delta=-0.0065, step=0.00083,
C=4000, F=1009, Meas=59.4132, Pred=59.4067, delta=-0.0065, step=0.00078,
C=4000, F=1010, Meas=59.4139, Pred=59.4075, delta=-0.0064, step=0.00074,
C=4000, F=1011, Meas=59.4148, Pred=59.4083, delta=-0.0066, step=0.00091,
C=4000, F=1012, Meas=59.4156, Pred=59.4091, delta=-0.0066, step=0.00081,
C=4000, F=1013, Meas=59.4166, Pred=59.4099, delta=-0.0067, step=0.00092,
C=4000, F=1014, Meas=59.4173, Pred=59.4107, delta=-0.0066, step=0.00077,
C=4000, F=1015, Meas=59.4183, Pred=59.4115, delta=-0.0068, step=0.00092,
C=4000, F=1016, Meas=59.4191, Pred=59.4123, delta=-0.0067, step=0.00080,
C=4000, F=1017, Meas=59.4199, Pred=59.4131, delta=-0.0068, step=0.00085,
C=4001, F=1000, Meas=59.4169, Pred=59.4141, delta=-0.0029, step=-0.00296,
C=4001, F=1001, Meas=59.4177, Pred=59.4149, delta=-0.0029, step=0.00080,
C=4001, F=1002, Meas=59.4186, Pred=59.4157, delta=-0.0029, step=0.00085,
C=4001, F=1003, Meas=59.4194, Pred=59.4165, delta=-0.0029, step=0.00079,
C=4001, F=1004, Meas=59.4202, Pred=59.4173, delta=-0.0029, step=0.00081,
C=4001, F=1005, Meas=59.4210, Pred=59.4181, delta=-0.0029, step=0.00077,
C=4001, F=1006, Meas=59.4217, Pred=59.4189, delta=-0.0028, step=0.00079,
C=4001, F=1007, Meas=59.4225, Pred=59.4197, delta=-0.0028, step=0.00077,
C=4001, F=1008, Meas=59.4233, Pred=59.4205, delta=-0.0028, step=0.00077,
C=4001, F=1009, Meas=59.4241, Pred=59.4213, delta=-0.0028, step=0.00084,
C=4001, F=1010, Meas=59.4250, Pred=59.4221, delta=-0.0028, step=0.00083,
C=4001, F=1011, Meas=59.4258, Pred=59.4229, delta=-0.0029, step=0.00089,
C=4001, F=1012, Meas=59.4266, Pred=59.4237, delta=-0.0029, step=0.00076,
C=4001, F=1013, Meas=59.4275, Pred=59.4245, delta=-0.0030, step=0.00090,
C=4001, F=1014, Meas=59.4283, Pred=59.4253, delta=-0.0030, step=0.00084,
C=4001, F=1015, Meas=59.4293, Pred=59.4261, delta=-0.0032, step=0.00098,
C=4001, F=1016, Meas=59.4300, Pred=59.4270, delta=-0.0031, step=0.00069,
C=4001, F=1017, Meas=59.4309, Pred=59.4278, delta=-0.0032, step=0.00092,
C=4002, F=1000, Meas=59.4279, Pred=59.4287, delta=0.0008, step=-0.00301,
